id,adsh,name,tag,ddate,qtrs,value,tlabel
2,0000002488-19-000011,ADVANCED MICRO DEVICES INC,AccountsPayableCurrent,20171231.0,0,384000000.0,"Accounts Payable, Current"""
3,0000002488-19-000011,ADVANCED MICRO DEVICES INC,AccountsPayableCurrent,20171231.0,0,384000000.0,"Accounts Payable, Current"
4,0000002488-19-000011,ADVANCED MICRO DEVICES INC,AccountsPayableCurrent,20171231.0,0,384000000.0,Accounts payable
5,0000002488-19-000011,ADVANCED MICRO DEVICES INC,AccountsPayableCurrent,20181231.0,0,528000000.0,"Accounts Payable, Current"""
6,0000002488-19-000011,ADVANCED MICRO DEVICES INC,AccountsPayableCurrent,20181231.0,0,528000000.0,"Accounts Payable, Current"
7,0000002488-19-000011,ADVANCED MICRO DEVICES INC,AccountsPayableCurrent,20181231.0,0,528000000.0,Accounts payable
1625,0000006281-19-000013,ANALOG DEVICES INC,AccountsPayableCurrent,20181031.0,0,260919000.0,"Accounts Payable, Current"""
1626,0000006281-19-000013,ANALOG DEVICES INC,AccountsPayableCurrent,20181031.0,0,260919000.0,"Accounts Payable, Current"
1627,0000006281-19-000013,ANALOG DEVICES INC,AccountsPayableCurrent,20181031.0,0,260919000.0,Accounts payable
1628,0000006281-19-000013,ANALOG DEVICES INC,AccountsPayableCurrent,20190131.0,0,222552000.0,"Accounts Payable, Current"""
1629,0000006281-19-000013,ANALOG DEVICES INC,AccountsPayableCurrent,20190131.0,0,222552000.0,"Accounts Payable, Current"
1630,0000006281-19-000013,ANALOG DEVICES INC,AccountsPayableCurrent,20190131.0,0,222552000.0,Accounts payable
2259,0000006951-19-000008,APPLIED MATERIALS INC /DE,AccountsPayableCurrent,20181031.0,0,996000000.0,"Accounts Payable, Current"""
2260,0000006951-19-000008,APPLIED MATERIALS INC /DE,AccountsPayableCurrent,20181031.0,0,996000000.0,"Accounts Payable, Current"
2261,0000006951-19-000008,APPLIED MATERIALS INC /DE,AccountsPayableCurrent,20181031.0,0,996000000.0,Accounts payable
2262,0000006951-19-000008,APPLIED MATERIALS INC /DE,AccountsPayableCurrent,20190131.0,0,978000000.0,"Accounts Payable, Current"""
2263,0000006951-19-000008,APPLIED MATERIALS INC /DE,AccountsPayableCurrent,20190131.0,0,978000000.0,"Accounts Payable, Current"
2264,0000006951-19-000008,APPLIED MATERIALS INC /DE,AccountsPayableCurrent,20190131.0,0,978000000.0,Accounts payable
3011,0000024741-19-000016,CORNING INC /NY,AccountsPayableCurrent,20171231.0,0,1439000000.0,"Accounts Payable, Current"""
3012,0000024741-19-000016,CORNING INC /NY,AccountsPayableCurrent,20171231.0,0,1439000000.0,"Accounts Payable, Current"
3013,0000024741-19-000016,CORNING INC /NY,AccountsPayableCurrent,20171231.0,0,1439000000.0,Accounts payable
3014,0000024741-19-000016,CORNING INC /NY,AccountsPayableCurrent,20181231.0,0,1456000000.0,"Accounts Payable, Current"""
3015,0000024741-19-000016,CORNING INC /NY,AccountsPayableCurrent,20181231.0,0,1456000000.0,"Accounts Payable, Current"
3016,0000024741-19-000016,CORNING INC /NY,AccountsPayableCurrent,20181231.0,0,1456000000.0,Accounts payable
4327,0000028823-19-000069,"DIEBOLD NIXDORF, INC",AccountsPayableCurrent,20171231.0,0,562200000.0,"Accounts Payable, Current"""
4328,0000028823-19-000069,"DIEBOLD NIXDORF, INC",AccountsPayableCurrent,20171231.0,0,562200000.0,"Accounts Payable, Current"
4329,0000028823-19-000069,"DIEBOLD NIXDORF, INC",AccountsPayableCurrent,20171231.0,0,562200000.0,Accounts payable
4330,0000028823-19-000069,"DIEBOLD NIXDORF, INC",AccountsPayableCurrent,20181231.0,0,509500000.0,"Accounts Payable, Current"""
4331,0000028823-19-000069,"DIEBOLD NIXDORF, INC",AccountsPayableCurrent,20181231.0,0,509500000.0,"Accounts Payable, Current"
4332,0000028823-19-000069,"DIEBOLD NIXDORF, INC",AccountsPayableCurrent,20181231.0,0,509500000.0,Accounts payable
6170,0000047217-19-000017,HP INC,AccountsPayableCurrent,20181031.0,0,14816000000.0,"Accounts Payable, Current"""
6171,0000047217-19-000017,HP INC,AccountsPayableCurrent,20181031.0,0,14816000000.0,"Accounts Payable, Current"
6172,0000047217-19-000017,HP INC,AccountsPayableCurrent,20181031.0,0,14816000000.0,Accounts payable
6173,0000047217-19-000017,HP INC,AccountsPayableCurrent,20190131.0,0,14572000000.0,"Accounts Payable, Current"""
6174,0000047217-19-000017,HP INC,AccountsPayableCurrent,20190131.0,0,14572000000.0,"Accounts Payable, Current"
6175,0000047217-19-000017,HP INC,AccountsPayableCurrent,20190131.0,0,14572000000.0,Accounts payable
6988,0000050863-19-000007,INTEL CORP,AccountsPayableCurrent,20171231.0,0,2928000000.0,"Accounts Payable, Current"""
