,"Oct 09, 2020","Oct 08, 2020","Oct 07, 2020","Oct 06, 2020","Oct 05, 2020","Oct 02, 2020","Oct 01, 2020","Sep 30, 2020","Sep 29, 2020","Sep 28, 2020","Sep 25, 2020","Sep 24, 2020","Sep 23, 2020","Sep 22, 2020","Sep 21, 2020","Sep 18, 2020","Sep 17, 2020","Sep 16, 2020","Sep 15, 2020","Sep 14, 2020","Sep 11, 2020","Sep 10, 2020","Sep 09, 2020","Sep 08, 2020","Sep 04, 2020","Sep 03, 2020","Sep 02, 2020","Sep 01, 2020","Aug 31, 2020","Aug 28, 2020","Aug 27, 2020","Aug 26, 2020","Aug 25, 2020","Aug 24, 2020","Aug 21, 2020","Aug 20, 2020","Aug 19, 2020","Aug 18, 2020","Aug 17, 2020","Aug 14, 2020","Aug 13, 2020","Aug 12, 2020","Aug 11, 2020","Aug 10, 2020","Aug 07, 2020","Aug 06, 2020","Aug 05, 2020","Aug 04, 2020","Aug 03, 2020","Jul 31, 2020","Jul 30, 2020","Jul 29, 2020","Jul 28, 2020","Jul 27, 2020","Jul 24, 2020","Jul 23, 2020","Jul 22, 2020","Jul 21, 2020","Jul 20, 2020","Jul 17, 2020","Jul 16, 2020","Jul 15, 2020","Jul 14, 2020","Jul 13, 2020","Jul 10, 2020","Jul 09, 2020","Jul 08, 2020","Jul 07, 2020","Jul 06, 2020","Jul 02, 2020","Jul 01, 2020","Jun 30, 2020","Jun 29, 2020","Jun 26, 2020","Jun 25, 2020","Jun 24, 2020","Jun 23, 2020","Jun 22, 2020","Jun 19, 2020","Jun 18, 2020","Jun 17, 2020","Jun 16, 2020","Jun 15, 2020","Jun 12, 2020","Jun 11, 2020","Jun 10, 2020","Jun 09, 2020","Jun 08, 2020","Jun 05, 2020","Jun 04, 2020","Jun 03, 2020","Jun 02, 2020","Jun 01, 2020","May 29, 2020","May 28, 2020","May 27, 2020","May 26, 2020","May 22, 2020"
AAPL,115.97,114.97,115.08,113.16,116.50,113.02,116.79,115.81,114.09,114.96,112.28,108.22,107.12,111.81,110.08,106.84,110.34,112.13,115.54,115.36,112.00,113.49,117.32,112.82,120.96,120.88,131.40,134.18,129.04,124.81,125.01,126.52,124.82,125.86,124.37,118.28,115.71,115.56,114.61,114.91,115.01,113.01,109.38,112.73,111.11,113.90,110.06,109.67,108.94,106.26,96.19,95.04,93.25,94.81,92.61,92.85,97.27,97.00,98.36,96.33,96.52,97.72,97.06,95.48,95.92,95.75,95.34,93.17,93.46,91.03,91.03,91.20,90.44,88.41,91.21,90.01,91.63,89.72,87.43,87.93,87.90,88.02,85.75,84.70,83.97,88.21,86.00,83.36,82.88,80.58,81.28,80.83,80.46,79.49,79.56,79.53,79.18,79.72
ADBE,502.16,490.84,493.15,478.98,486.47,478.99,499.51,490.43,489.33,488.51,479.78,467.67,470.39,486.78,475.64,467.55,474.30,476.00,497.67,485.91,471.35,476.26,479.46,462.13,491.94,507.80,533.80,527.95,513.39,516.44,510.32,528.49,484.43,476.30,473.22,478.48,462.01,463.51,451.58,447.60,450.02,445.36,435.23,443.29,449.57,464.11,449.51,446.92,447.97,444.32,438.88,436.30,432.26,437.10,430.31,431.74,445.05,444.28,455.27,432.42,426.29,433.01,433.78,442.47,466.20,460.84,457.68,449.36,452.59,442.95,439.81,435.31,424.20,426.92,436.95,431.68,440.55,438.64,428.01,420.46,413.49,411.67,401.34,406.54,387.67,406.82,397.16,397.78,392.90,385.80,389.92,390.44,389.68,386.60,379.83,375.17,376.63,385.26
ADI,123.33,120.34,118.67,115.54,116.60,114.01,118.99,116.74,116.65,117.06,113.48,112.68,112.50,114.70,113.93,114.91,115.49,115.56,116.06,114.62,113.80,114.27,115.46,112.93,117.44,117.12,121.83,118.76,116.88,119.58,119.04,120.51,119.90,117.23,116.02,117.45,118.15,117.88,117.44,117.18,118.11,119.22,116.56,116.76,116.32,116.74,116.17,117.18,116.57,114.85,116.30,117.53,115.43,115.80,112.21,111.94,113.88,114.58,117.06,116.75,115.98,117.90,118.01,117.25,124.50,124.19,122.86,122.62,123.62,121.24,120.37,122.64,119.00,117.87,120.10,119.47,123.25,120.50,120.18,122.81,122.53,122.69,118.50,118.41,115.65,122.88,123.39,123.71,124.59,122.38,121.62,116.80,112.78,112.95,110.96,114.68,112.70,111.06
ADSK,237.50,234.31,233.01,228.01,228.93,225.56,233.96,231.01,232.92,232.15,227.80,220.96,221.87,229.56,227.64,225.13,226.97,230.76,235.87,229.83,227.48,228.20,232.78,224.36,233.88,242.09,261.35,253.51,245.70,247.39,243.11,248.21,252.24,251.80,248.27,249.15,241.42,242.69,239.00,234.35,238.19,231.57,228.79,231.88,236.24,243.57,243.20,239.90,239.48,236.43,236.10,238.61,234.58,239.69,232.88,237.34,240.74,239.69,246.04,237.70,234.03,235.58,234.60,231.86,244.24,248.20,243.90,238.94,244.36,240.15,241.22,239.19,232.17,232.74,234.47,233.44,241.62,240.88,237.82,238.07,237.04,240.93,229.00,222.96,219.10,236.59,234.15,233.51,233.71,225.20,226.39,219.09,219.29,210.38,202.63,199.81,199.53,195.78
AMAT,63.29,62.60,61.12,60.40,60.60,58.21,60.65,59.45,59.65,59.36,58.23,57.79,57.25,57.89,57.32,56.15,56.34,56.47,57.20,56.46,55.00,55.12,55.20,55.63,60.96,61.46,65.08,61.89,61.60,63.07,62.03,63.76,64.05,63.74,62.27,63.79,65.87,66.43,66.94,67.62,65.07,66.50,64.46,65.24,63.57,63.61,64.87,64.85,65.01,64.33,64.42,63.25,62.30,63.01,60.62,63.63,64.22,63.81,63.73,62.30,62.34,62.10,62.54,61.51,62.59,63.49,62.77,62.18,63.46,61.00,59.68,60.45,59.06,58.38,59.98,59.97,60.84,61.27,60.95,60.38,60.00,58.54,57.05,56.55,55.41,59.86,59.79,59.90,60.19,58.13,57.81,55.79,55.69,56.18,54.67,56.40,55.14,54.39
AMD,83.10,86.51,86.69,84.48,86.15,81.80,84.86,81.99,81.77,79.48,78.06,75.82,74.73,77.70,77.94,74.93,76.55,76.66,78.93,77.90,76.34,78.98,81.91,78.69,82.01,82.54,90.22,92.18,90.82,85.55,83.80,86.02,86.35,83.08,83.81,82.77,81.09,81.66,82.42,81.30,81.84,82.61,76.88,82.24,84.85,86.71,85.31,85.04,77.67,77.43,78.20,76.09,67.61,68.97,69.40,59.57,61.79,57.00,57.46,55.04,54.92,55.34,54.72,53.59,55.88,57.26,53.43,52.93,53.40,52.34,52.58,52.61,50.28,50.10,51.93,52.39,53.99,54.76,54.23,54.04,54.55,54.46,54.68,53.50,52.83,57.44,56.39,52.97,53.10,52.63,52.73,53.54,53.63,53.80,51.74,52.74,53.19,55.17
ANSS,336.82,333.54,330.40,316.47,323.87,321.58,334.80,327.23,319.51,318.80,312.16,304.41,302.55,315.44,309.19,305.08,308.88,317.89,328.21,321.60,314.08,317.42,320.05,308.61,321.21,332.14,350.59,343.89,339.01,336.71,332.34,331.48,326.49,325.25,324.50,328.32,319.53,320.47,317.36,313.19,314.77,308.40,301.92,308.78,312.37,315.25,312.27,308.78,315.23,310.60,309.67,306.05,298.22,300.17,293.51,300.15,306.89,305.75,309.11,301.13,295.30,301.04,301.04,295.56,301.65,304.50,301.90,299.32,301.64,297.97,294.32,291.73,282.13,283.08,287.19,285.25,289.66,289.36,281.59,289.36,285.64,282.59,274.83,270.27,271.94,286.00,285.27,290.75,289.10,282.16,286.90,288.14,286.70,283.00,275.10,269.31,268.97,269.87
ASML,388.99,380.89,375.80,370.11,382.11,370.00,382.01,369.27,374.00,371.06,360.48,360.16,357.56,364.64,362.62,366.34,366.74,362.38,370.25,367.94,359.23,357.00,359.37,347.35,367.42,376.16,398.49,386.90,374.18,379.47,376.22,385.92,380.83,377.99,372.12,372.17,374.94,377.22,378.51,371.10,374.76,374.81,361.31,365.41,366.07,369.23,368.51,370.33,366.61,353.72,362.73,364.62,376.36,381.78,367.68,384.23,392.60,383.82,391.48,383.59,385.22,375.43,396.83,388.62,395.85,394.72,391.93,382.02,385.46,373.22,367.59,368.03,364.81,361.76,366.55,361.58,366.64,364.29,360.67,358.88,362.41,352.05,350.01,343.07,332.89,347.92,349.33,349.25,357.22,353.11,346.30,334.73,326.73,329.51,319.97,318.53,319.86,319.36
AVGO,376.70,373.33,366.74,363.98,366.10,356.83,368.60,364.32,364.26,367.30,356.80,352.52,351.59,361.59,351.79,359.73,365.92,367.04,366.91,362.20,359.70,357.08,360.03,350.54,362.95,352.09,375.01,359.54,347.15,344.82,339.14,339.67,336.14,334.00,330.02,328.83,329.21,328.64,330.32,327.82,329.42,333.64,324.03,327.36,325.93,329.16,329.54,328.39,321.23,316.75,312.10,308.85,307.35,312.68,305.79,309.67,313.80,314.34,317.13,312.71,311.34,313.78,315.08,311.31,319.44,321.50,319.57,313.12,318.79,315.47,312.73,315.61,309.78,307.41,308.85,306.97,311.30,313.54,302.77,318.71,313.44,310.72,304.09,300.25,293.75,315.04,315.32,317.52,317.08,308.89,309.53,298.06,289.99,291.27,283.14,287.59,282.02,276.65
BIDU,126.49,126.75,126.35,124.83,124.70,124.62,126.45,126.59,122.58,126.04,123.79,123.76,122.92,124.03,124.55,124.66,124.67,126.03,124.49,121.88,120.62,119.16,119.40,119.31,122.87,121.42,124.26,126.93,124.57,129.00,127.25,127.47,125.70,122.88,122.45,123.48,122.71,124.20,123.92,116.74,124.57,126.11,124.60,125.06,125.00,125.58,125.85,126.67,120.55,119.40,118.00,119.82,115.69,115.86,119.02,121.10,122.75,125.22,124.35,122.77,123.43,125.05,125.49,127.84,132.33,132.53,130.64,127.83,132.93,123.30,120.63,119.89,121.29,121.80,123.73,121.37,123.33,123.08,123.08,123.46,122.03,122.78,116.82,116.27,111.83,116.81,115.83,117.03,114.40,109.06,112.45,107.23,107.10,106.55,106.32,108.22,108.36,103.32
